"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 01 06:49:07 MSK 2025","Thu May 01 06:49:11 MSK 2025","3939","page_object.tests","test_main","TestMainPage","","","Проверка перехода на страницу создания заказа по нижней кнопке",""
"passed","Thu May 01 06:49:31 MSK 2025","Thu May 01 06:49:35 MSK 2025","4524","page_object.tests","test_main","TestMainPage","","","Проверяем секцию «Вопросы о важном»","Тест проверяет, что на главной странице присутствуют все вопросы из списка, и что ответы на них отображаются по клику"
"passed","Thu May 01 07:44:52 MSK 2025","Thu May 01 07:45:00 MSK 2025","8138","page_object.tests","test_order","TestOrderPage","","","Позитивное тестирование процесса создания заказа",""
"passed","Thu May 01 07:45:43 MSK 2025","Thu May 01 07:45:46 MSK 2025","2989","page_object.tests","test_order","TestOrderPage","","","Тест перехода по клику на логотип Самокат",""
"passed","Thu May 01 06:52:03 MSK 2025","Thu May 01 06:52:06 MSK 2025","3873","page_object.tests","test_main","TestMainPage","","","Проверяем секцию «Вопросы о важном»","Тест проверяет, что на главной странице присутствуют все вопросы из списка, и что ответы на них отображаются по клику"
"passed","Thu May 01 06:48:42 MSK 2025","Thu May 01 06:48:45 MSK 2025","3268","page_object.tests","test_main","TestMainPage","","","Проверка перехода на страницу создания заказа по верхней кнопке",""
"passed","Thu May 01 06:51:12 MSK 2025","Thu May 01 06:51:17 MSK 2025","4972","page_object.tests","test_main","TestMainPage","","","Проверяем секцию «Вопросы о важном»","Тест проверяет, что на главной странице присутствуют все вопросы из списка, и что ответы на них отображаются по клику"
"passed","Thu May 01 06:50:47 MSK 2025","Thu May 01 06:50:51 MSK 2025","3679","page_object.tests","test_main","TestMainPage","","","Проверяем секцию «Вопросы о важном»","Тест проверяет, что на главной странице присутствуют все вопросы из списка, и что ответы на них отображаются по клику"
"passed","Thu May 01 06:51:38 MSK 2025","Thu May 01 06:51:42 MSK 2025","3986","page_object.tests","test_main","TestMainPage","","","Проверяем секцию «Вопросы о важном»","Тест проверяет, что на главной странице присутствуют все вопросы из списка, и что ответы на них отображаются по клику"
"passed","Thu May 01 06:49:58 MSK 2025","Thu May 01 06:50:02 MSK 2025","3837","page_object.tests","test_main","TestMainPage","","","Проверяем секцию «Вопросы о важном»","Тест проверяет, что на главной странице присутствуют все вопросы из списка, и что ответы на них отображаются по клику"
"passed","Thu May 01 06:52:28 MSK 2025","Thu May 01 06:52:32 MSK 2025","3839","page_object.tests","test_main","TestMainPage","","","Проверяем секцию «Вопросы о важном»","Тест проверяет, что на главной странице присутствуют все вопросы из списка, и что ответы на них отображаются по клику"
"passed","Thu May 01 06:50:23 MSK 2025","Thu May 01 06:50:27 MSK 2025","3902","page_object.tests","test_main","TestMainPage","","","Проверяем секцию «Вопросы о важном»","Тест проверяет, что на главной странице присутствуют все вопросы из списка, и что ответы на них отображаются по клику"
"passed","Thu May 01 07:45:20 MSK 2025","Thu May 01 07:45:24 MSK 2025","4113","page_object.tests","test_order","TestOrderPage","","","Тест перехода по клику на логотип Яндекс",""
